Aamir Zaki
Aaron Barrett 
Aaron Dalbec 
Aaron El Hefe Abeyta 
Aaron Lewis 
Aaron North 
Abbath Doom Occulta 
Ace Frehley 
Acey Slade 
Adam Dutkiewicz 
Adam Gontier 
Adam Jones 
Adam Lazzara 
Adam Levine 
Adam Sandler
Adrian Belew 
Adrian Borland 
Adrian Legg
Adrian Smith 
Adrian Vandenberg 
Agustín Barrios
Akira Takasaki 
Alain Johannes 
Alan Jackson
Alan Wilson 
Albert Collins
Albert Hammond, Jr. 
Albert King
Albert Lee
Alberto Ponce
Al Caiola
Al Casey 
Al Di Meola
Alejandro Silva
Alex Fox
Alex Greenwald 
Alexi Laiho 
Alexis Korner
Alex Kapranos 
Alex Lee 
Alex Lifeson 
Alex Skolnick 
Alex Suarez 
Alex Turner 
Alfonzo Blackwell
Alirio Díaz
Al Jardine 
Allan Holdsworth 
Allan Stewart 
Allen Collins 
Allison Crowe
Allison Robertson 
Al McKay 
Alonso Mudarra
Al Pitrelli 
Al Schnier 
Al Stewart
Alvin Lee 
Alyson Michalka 
Amanda Michalka 
Ami Onuki 
Amir Derakh 
Amir-John Haddad
Amy Grant
Amy Millan 
Amy Thiessen
Ana Popović
Ana Vidović
Anders Björler 
Anders Iwers 
András Csáki
André 3000 
Andrea Rocca
Andreas Paolo Perger
Andrei Krylov
André Olbrich 
Andrés Segovia
Andrew Cheshire
Andrew Craighan 
Andrew Farriss 
Andrew Hansen
Andrew Latimer 
Andrew Stockdale 
Andrew White 
Andy Cox 
Andy Dunlop 
Andy Gibb
Andy McCoy 
Andy McKee
Andy Partridge 
Andy Powell 
Andy Ross 
Andy Rourke
Andy Summers 
Andy Taylor 
Andy Timmons 
Angel Ibarra 
Angus Clark 
Angus Young 
Ani DiFranco
Anna Sentina
Anthony Phillips 
Antônio Carlos Jobim
António Chainho
Antonio Lauro
Antony Genn 
Armik
Art Alexakis 
Arve Isdal 
Axl Rose
Ayub Bachchu 
Baden Powell de Aquino
Balsac the Jaws of Death 
Barbecue Bob
Barney Kessel
Barry Gibb 
Barry Stock 
Baz Warne 
B.B. King
Beck
Ben Burnley 
Ben Folds 
Ben Gibbard 
Ben Harper
Benji Madden 
Ben Jorgensen 
Ben Kasica 
Ben King 
Ben Mink
Bennie Smith
Bernard Butler 
Bernard Fanning 
Bernard Sumner 
Bernie Leadon 
Bernie Marsden 
Bernie Williams
Bert Jansch
Big Bill Broonzy
Big Jim Sullivan
Big Kenny 
Big Tom
Bill Champlin 
Bill Connors
Bill Frisell
Bill Haley 
Bill Harkleroad 
Billie Joe Armstrong 
Bill Kelliher 
Bill Kirchen 
Bill Spooner 
Billy Corgan 
Billy Duffy 
Billy Gibbons 
Billy Howerdel 
Billy Idol
Billy Karren 
Billy Martin 
Billy Mure
Billy Ray Cyrus
Billy Sherwood
Billy Squier
Billy Walker
Billy Zoom 
Björn Gelotte 
Björn Ulvaeus ABBA
Black Francis 
Blair Thornton 
Blake Schwarzenbach 
Blake Shelton
Blind Blake
Blind Lemon Jefferson
Blind Willie Johnson
Blues Saraceno
Bob Bennett
