登鸛鵲樓,登鸛鵲樓，作者王之渙，白日依山盡，黃河入海流，欲窮千里目，更上一層樓
出塞,出塞，作者王昌齡，秦時明月漢時關，萬里長征人未還，但使龍城飛將在，不教胡馬度陰山 
黃鶴樓送孟浩然之廣陵,黃鶴樓送孟浩然之廣陵，作者李白，故人西辭黃鶴樓，煙花三月下揚州，孤帆遠影碧空盡，惟見長江天際流
春曉,春曉，作者孟浩然，春眠不覺曉，處處聞啼鳥，夜來風雨聲，花落知多少
相思,相思，作者王維，紅豆生南國，春來發幾枝，願君多采擷，此物最相思
下江陵,下江陵，作者李白，朝辭白帝彩雲間，千里江陵一日還，兩岸猿聲啼不住，輕舟已過萬重山
夜雨寄北,夜雨寄北，作者李商隱，君問歸期未有期，巴山夜雨漲秋池，何當共翦西窗燭，卻話巴山夜雨時
春望,春望，作者杜甫，國破山河在，城春草木深，感時花濺淚，恨別鳥驚心，烽火連三月，家書抵萬金，白頭搔更短，渾欲不勝簪
月夜憶舍弟,月夜憶舍弟，作者杜甫，戍鼓斷人行，邊秋一雁聲，露從今夜白，月是故鄉明，有弟皆分散，無家問死生，寄書長不達，況乃未休兵
旅夜書懷,旅夜書懷，作者杜甫，細草微風岸，危檣獨夜舟，星垂平野闊，月湧大江流，名豈文章著，官應老病休，飄飄何所似，天地一沙鷗
江南逢李龜年,江南逢李龜年，作者杜甫，岐王宅裡尋常見，崔九堂前幾度聞，正是江南好風景，落花時節又逢君
